     table_name      |   column_name   | is_nullable |     data_type     
---------------------+-----------------+-------------+-------------------
 attendance_sessions | academic_year   | NO          | character varying
 attendance_sessions | semester        | NO          | integer
 attendance_summary  | academic_year   | NO          | character varying
 attendance_summary  | semester        | NO          | integer
 exam_schedules      | academic_year   | NO          | character varying
 exam_schedules      | semester        | NO          | integer
 exam_sessions       | academic_year   | NO          | character varying
 exam_sessions       | semester        | NO          | integer
 grades              | academic_year   | YES         | character varying
 grades              | semester_legacy | YES         | integer
 learning_analytics  | academic_year   | NO          | character varying
 learning_analytics  | semester        | NO          | integer
 risk_predictions    | academic_year   | NO          | character varying
 risk_predictions    | semester        | NO          | integer
 scores              | academic_year   | NO          | character varying
 scores              | semester        | NO          | integer
 timetables          | academic_year   | NO          | character varying
 timetables          | semester_legacy | YES         | integer
(18 rows)

